symbol,company,industry,market_cap
DOV,Dover Corporation,Specialty Industrial Machinery,24.04B
DOW,Dow Inc.,Chemicals,14.79B
DOX,Amdocs Limited,Software - Infrastructure,9.61B
DOYU,DouYu International Holdings Limited,Internet Content & Information,220.31M
DPRO,Draganfly Inc.,Aerospace & Defense,106.06M
DPZ,"Domino's Pizza, Inc.",Restaurants,14.96B
DQ,Daqo New Energy Corp.,Semiconductor Equipment & Materials,1.47B
DRCT,"Direct Digital Holdings, Inc.",Advertising Agencies,9.37M
DRD,DRDGOLD Limited,Gold,1.31B
DRDB,Roman DBDR Acquisition Corp. II,Shell Companies,315.04M
DRH,DiamondRock Hospitality Company,REIT - Hotel & Motel,1.57B
DRI,"Darden Restaurants, Inc.",Restaurants,23.59B
DRIO,DarioHealth Corp.,Health Information Services,22.89M
DRMA,"Dermata Therapeutics, Inc.",Biotechnology,3.93M
DRRX,DURECT Corporation,Drug Manufacturers - Specialty & Generic,58.05M
DRS,"Leonardo DRS, Inc.",Aerospace & Defense,11.07B
DRTS,Alpha Tau Medical Ltd.,Biotechnology,301.53M
DRUG,Bright Minds Biosciences Inc.,Biotechnology,275.99M
DRVN,Driven Brands Holdings Inc.,Auto & Truck Dealerships,2.72B
DSGN,"Design Therapeutics, Inc.",Biotechnology,274.49M
DSGR,"Distribution Solutions Group, Inc.",Industrial Distribution,1.42B
DSGX,The Descartes Systems Group Inc.,Software - Application,8.52B
DSL,DoubleLine Income Solutions Fund,Asset Management - Income,1.38B
DSP,Viant Technology Inc.,Software - Application,750.80M
DSS,"DSS, Inc.",Packaging & Containers,7.59M
DSWL,"Deswell Industries, Inc.",Electronic Components,47.49M
DSX,Diana Shipping Inc.,Marine Shipping,170.00M
DSY,Big Tree Cloud Holdings Limited,Household & Personal Products,63.93M
DT,"Dynatrace, Inc.",Software - Application,13.88B
DTCK,Davis Commodities Limited,Farm Products,18.92M
DTE,DTE Energy Company,Utilities - Regulated Electric,29.05B
DTI,Drilling Tools International Corporation,Oil & Gas Equipment & Services,71.19M
DTIL,"Precision BioSciences, Inc.",Biotechnology,51.27M
DTM,"DT Midstream, Inc.",Oil & Gas Midstream,10.60B
DTSQ,DT Cloud Star Acquisition Corporation,Shell Companies,92.66M
DTSS,Datasea Inc.,Software - Infrastructure,14.08M
DTST,Data Storage Corporation,Information Technology Services,33.38M
DUK,Duke Energy Corporation,Utilities - Regulated Electric,97.64B
DUO,Fangdd Network Group Ltd.,Real Estate Services,6.64M
DUOL,"Duolingo, Inc.",Software - Application,15.61B
DUOT,"Duos Technologies Group, Inc.",Software - Application,117.64M
DV,"DoubleVerify Holdings, Inc.",Software - Application,2.42B
DVA,DaVita Inc.,Medical Care Facilities,9.23B
DVAX,Dynavax Technologies Corporation,Drug Manufacturers - Specialty & Generic,1.23B
DVLT,Datavault AI Inc.,Software - Infrastructure,40.93M
DVN,Devon Energy Corporation,Oil & Gas Exploration & Production,20.87B
DVS,Dolly Varden Silver Corporation,Silver,328.98M
DWSN,Dawson Geophysical Company,Oil & Gas Equipment & Services,41.83M
DWTX,"Dogwood Therapeutics, Inc.",Biotechnology,9.12M
DX,"Dynex Capital, Inc.",REIT - Mortgage,1.60B
DXC,DXC Technology Company,Information Technology Services,2.30B
DXCM,"DexCom, Inc.",Medical Devices,30.53B
DXF,Eason Technology Limited,Credit Services,1.05M
DXLG,"Destination XL Group, Inc.",Apparel Retail,65.92M
DXPE,"DXP Enterprises, Inc.",Industrial Distribution,1.81B
DXR,Daxor Corporation,Medical Instruments & Supplies,50.07M
DXST,Decent Holding Inc.,Waste Management,19.83M
DY,"Dycom Industries, Inc.",Engineering & Construction,7.95B
DYAI,"Dyadic International, Inc.",Biotechnology,29.31M
DYCQ,DT Cloud Acquisition Corporation,Shell Companies,73.96M
DYN,"Dyne Therapeutics, Inc.",Biotechnology,1.60B
DYNX,Dynamix Corporation,Shell Companies,258.74M
E,Eni S.p.A.,Oil & Gas Integrated,51.96B
EA,Electronic Arts Inc.,Electronic Gaming & Multimedia,44.06B
EAF,GrafTech International Ltd.,Electrical Equipment & Parts,304.62M
EARN,Ellington Credit Company,Asset Management,211.46M
EAT,"Brinker International, Inc.",Restaurants,6.76B
EB,"Eventbrite, Inc.",Internet Content & Information,245.11M
EBAY,eBay Inc.,Internet Retail,43.55B
EBC,"Eastern Bankshares, Inc.",Banks - Regional,3.03B
EBF,"Ennis, Inc.",Business Equipment & Supplies,464.05M
EBMT,"Eagle Bancorp Montana, Inc.",Banks - Regional,124.00M
EBON,Ebang International Holdings Inc.,Computer Hardware,26.90M
EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,Utilities - Renewable,18.79B
EBS,Emergent BioSolutions Inc.,Drug Manufacturers - Specialty & Generic,435.34M
EC,Ecopetrol S.A.,Oil & Gas Integrated,17.59B
ECBK,"ECB Bancorp, Inc.",Banks - Regional,141.35M
ECC,Eagle Point Credit Company Inc.,Asset Management,751.15M
ECDA,"ECD Automotive Design, Inc.",Auto Manufacturers,7.49M
ECG,"Everus Construction Group, Inc.",Engineering & Construction,3.61B
ECL,Ecolab Inc.,Specialty Chemicals,77.57B
ECO,Okeanis Eco Tankers Corp.,Marine Shipping,786.40M
ECOR,"electroCore, Inc.",Medical Devices,32.68M
ECPG,"Encore Capital Group, Inc.",Credit Services,912.65M
ECVT,Ecovyst Inc.,Specialty Chemicals,1.01B
ECX,ECARX Holdings Inc.,Auto Parts,567.22M
ED,"Consolidated Edison, Inc.",Utilities - Regulated Electric,37.55B
EDAP,EDAP TMS S.A.,Medical Distribution,47.11M
EDBL,Edible Garden AG Incorporated,Farm Products,6.68M
EDHL,Everbright Digital Holding Limited,Advertising Agencies,14.66M
EDIT,"Editas Medicine, Inc.",Biotechnology,184.17M
EDN,Empresa Distribuidora y Comercializadora Norte Sociedad Anónima,Utilities - Regulated Electric,1.24B
EDRY,EuroDry Ltd.,Marine Shipping,30.16M
EDSA,"Edesa Biotech, Inc.",Biotechnology,14.83M
EDTK,Skillful Craftsman Education Technology Limited,Education & Training Services,15.81M
EDU,New Oriental Education & Technology Group Inc.,Education & Training Services,7.46B
EDUC,Educational Development Corporation,Publishing,10.04M
EE,"Excelerate Energy, Inc.",Oil & Gas Midstream,2.71B
EEFT,"Euronet Worldwide, Inc.",Software - Infrastructure,3.80B
EEIQ,EpicQuest Education Group International Limited,Education & Training Services,9.75M
EEX,"Emerald Holding, Inc.",Advertising Agencies,918.59M
EFC,Ellington Financial Inc.,REIT - Mortgage,1.30B
EFOI,"Energy Focus, Inc.","Furnishings, Fixtures & Appliances",10.34M
EFSC,Enterprise Financial Services Corp,Banks - Regional,2.03B
EFSI,"Eagle Financial Services, Inc.",Banks - Regional,174.69M
EFTY,"Etoiles Capital Group Co., Ltd",Consulting Services,94.53M
EFX,Equifax Inc.,Consulting Services,29.67B
EFXT,Enerflex Ltd.,Oil & Gas Equipment & Services,1.12B
EG,"Everest Group, Ltd.",Insurance - Reinsurance,13.86B
EGAN,eGain Corporation,Software - Application,153.16M
EGBN,"Eagle Bancorp, Inc.",Banks - Regional,506.25M
EGG,Enigmatig Limited,Consulting Services,148.15M
EGHA,EGH Acquisition Corp.,Shell Companies,205.62M
EGHT,"8x8, Inc.",Software - Application,238.65M
EGO,Eldorado Gold Corporation,Gold,4.54B
EGP,"EastGroup Properties, Inc.",REIT - Industrial,8.49B
EGY,"VAALCO Energy, Inc.",Oil & Gas Exploration & Production,373.75M
EH,EHang Holdings Limited,Aerospace & Defense,1.27B
EHAB,"Enhabit, Inc.",Medical Care Facilities,369.03M
EHC,Encompass Health Corporation,Medical Care Facilities,11.83B
EHGO,Eshallgo Inc.,Business Equipment & Supplies,18.73M
EHLD,Euroholdings Ltd.,Marine Shipping,20.03M
EHTH,"eHealth, Inc.",Insurance Brokers,104.81M
EIC,Eagle Point Income Company Inc.,Asset Management,312.79M
EIG,"Employers Holdings, Inc.",Insurance - Specialty,971.97M
EIX,Edison International,Utilities - Regulated Electric,21.26B
EJH,E-Home Household Service Holdings Limited,Personal Services,5.12M
EKSO,"Ekso Bionics Holdings, Inc.",Medical Instruments & Supplies,7.78M
EL,The Estée Lauder Companies Inc.,Household & Personal Products,32.07B
ELA,Envela Corporation,Luxury Goods,173.97M
ELAB,PMGC Holdings Inc.,Biotechnology,2.65M
ELAN,Elanco Animal Health Incorporated,Drug Manufacturers - Specialty & Generic,8.50B
ELBM,Electra Battery Materials Corporation,Other Industrial Metals & Mining,21.36M
ELDN,"Eledon Pharmaceuticals, Inc.",Biotechnology,162.28M
ELF,"e.l.f. Beauty, Inc.",Household & Personal Products,6.62B
ELLO,Ellomay Capital Ltd.,Utilities - Renewable,228.65M
ELMD,"Electromed, Inc.",Medical Devices,160.59M
ELME,Elme Communities,REIT - Residential,1.44B
ELP,Companhia Paranaense de Energia - COPEL,Utilities - Regulated Electric,6.43B
ELPC,Companhia Paranaense de Energia - COPEL,Utilities - Regulated Electric,6.43B
ELPW,Elong Power Holding Limited,Electrical Equipment & Parts,252.73M
ELS,"Equity LifeStyle Properties, Inc.",REIT - Residential,12.14B
ELSE,"Electro-Sensors, Inc.",Scientific & Technical Instruments,15.97M
ELTK,Eltek Ltd.,Electronic Components,69.05M
ELTX,"Elicio Therapeutics, Inc.",Biotechnology,141.20M
ELUT,Elutia Inc.,Medical Devices,83.26M
ELV,"Elevance Health, Inc.",Healthcare Plans,65.48B
ELVA,Electrovaya Inc.,Electrical Equipment & Parts,189.37M
ELVN,"Enliven Therapeutics, Inc.",Biotechnology,1.07B
ELWS,"Earlyworks Co., Ltd",Software - Application,12.60M
EM,Smart Share Global Limited,Personal Services,299.25M
EMA,Emera Incorporated,Utilities - Regulated Electric,14.30B
EMBC,Embecta Corp.,Medical Instruments & Supplies,744.52M
EMCG,Embrace Change Acquisition Corp.,Shell Companies,63.19M
EME,"EMCOR Group, Inc.",Engineering & Construction,27.52B
EML,The Eastern Company,Tools & Accessories,138.06M
EMN,Eastman Chemical Company,Specialty Chemicals,7.01B
EMPD,Empery Digital Inc.,Auto Manufacturers,1.00B
EMPG,Empro Group Inc.,Household & Personal Products,57.24M
EMR,Emerson Electric Co.,Specialty Industrial Machinery,74.27B
EMX,EMX Royalty Corporation,Other Industrial Metals & Mining,333.67M
ENB,Enbridge Inc.,Oil & Gas Midstream,103.54B
ENFY,Enlightify Inc.,Agricultural Inputs,15.93M
ENGN,enGene Holdings Inc.,Biotechnology,188.58M
ENGNW,enGene Holdings Inc.,Biotechnology,188.58M
ENGS,Energys Group Limited,Waste Management,39.05M
ENIC,Enel Chile S.A.,Utilities - Regulated Electric,4.55B
ENLT,Enlight Renewable Energy Ltd,Utilities - Renewable,2.90B
ENLV,Enlivex Therapeutics Ltd.,Biotechnology,34.82M
ENOV,Enovis Corporation,Medical Devices,1.61B
ENPH,"Enphase Energy, Inc.",Solar,4.26B
ENR,"Energizer Holdings, Inc.",Electrical Equipment & Parts,1.90B
ENS,EnerSys,Electrical Equipment & Parts,3.57B
ENSC,"Ensysce Biosciences, Inc.",Biotechnology,4.93M
ENSG,"The Ensign Group, Inc.",Medical Care Facilities,9.26B
ENTA,"Enanta Pharmaceuticals, Inc.",Biotechnology,138.73M
ENTG,"Entegris, Inc.",Semiconductor Equipment & Materials,10.92B
ENTO,"Entero Therapeutics, Inc.",Biotechnology,2.89M
ENTX,Entera Bio Ltd.,Biotechnology,85.45M
ENVA,"Enova International, Inc.",Credit Services,2.61B
ENVB,"Enveric Biosciences, Inc.",Biotechnology,2.69M
ENVX,Enovix Corporation,Electrical Equipment & Parts,2.14B
EOG,"EOG Resources, Inc.",Oil & Gas Exploration & Production,63.79B
EOLS,"Evolus, Inc.",Drug Manufacturers - Specialty & Generic,373.23M
EONR,EON Resources Inc.,Oil & Gas Exploration & Production,5.90M
EOSE,"Eos Energy Enterprises, Inc.",Electrical Equipment & Parts,1.65B
EP,Empire Petroleum Corporation,Oil & Gas Exploration & Production,155.66M
EPAC,Enerpac Tool Group Corp.,Specialty Industrial Machinery,2.19B
EPAM,"EPAM Systems, Inc.",Information Technology Services,8.45B
EPC,Edgewell Personal Care Company,Household & Personal Products,1.02B
EPD,Enterprise Products Partners L.P.,Oil & Gas Midstream,67.43B
EPIX,ESSA Pharma Inc.,Biotechnology,84.69M
EPM,Evolution Petroleum Corporation,Oil & Gas Exploration & Production,165.31M
EPOW,"Sunrise New Energy Co., Ltd.",Electrical Equipment & Parts,24.29M
EPR,EPR Properties,REIT - Specialty,4.02B
EPRT,"Essential Properties Realty Trust, Inc.",REIT - Retail,5.94B
EPRX,Eupraxia Pharmaceuticals Inc.,Biotechnology,190.59M
EPSM,Epsium Enterprise Limited,Beverages - Wineries & Distilleries,268.63M
EPSN,Epsilon Energy Ltd.,Oil & Gas Exploration & Production,138.60M
EPWK,EPWK Holdings Ltd.,Software - Application,9.32M
EQ,"Equillium, Inc.",Biotechnology,31.64M
EQBK,"Equity Bancshares, Inc.",Banks - Regional,721.45M
EQH,"Equitable Holdings, Inc.",Asset Management,16.02B
EQIX,"Equinix, Inc.",REIT - Specialty,76.02B
EQNR,Equinor ASA,Oil & Gas Integrated,59.71B
EQR,Equity Residential,REIT - Residential,24.52B
EQS,"Equus Total Return, Inc.",Asset Management,23.37M
EQT,EQT Corporation,Oil & Gas Exploration & Production,32.34B
EQV,EQV Ventures Acquisition Corp.,Shell Companies,462.22M
EQX,Equinox Gold Corp.,Gold,5.00B
ERAS,"Erasca, Inc.",Biotechnology,419.27M
ERIC,Telefonaktiebolaget LM Ericsson (publ),Communication Equipment,25.13B
ERIE,Erie Indemnity Company,Insurance Brokers,18.87B
ERII,"Energy Recovery, Inc.",Pollution & Treatment Controls,738.93M
ERJ,Embraer S.A.,Aerospace & Defense,10.56B
ERNA,Ernexa Therapeutics Inc.,Biotechnology,11.93M
ERO,Ero Copper Corp.,Copper,1.40B
ES,Eversource Energy,Utilities - Regulated Electric,24.38B
ESAB,ESAB Corporation,Metal Fabrication,6.60B
ESBA,"Empire State Realty OP, L.P.",REIT - Office,1.99B
ESCA,"Escalade, Incorporated",Leisure,162.06M
ESE,ESCO Technologies Inc.,Scientific & Technical Instruments,5.02B
ESEA,Euroseas Ltd.,Marine Shipping,349.38M
ESGL,ESGL Holdings Limited,Waste Management,118.34M
ESHA,ESH Acquisition Corp.,Shell Companies,44.10M
ESI,Element Solutions Inc,Specialty Chemicals,5.75B
ESLA,"Estrella Immunopharma, Inc.",Biotechnology,31.83M
ESLT,Elbit Systems Ltd.,Aerospace & Defense,20.94B
ESNT,Essent Group Ltd.,Insurance - Specialty,6.03B
ESOA,Energy Services of America Corporation,Engineering & Construction,161.16M
ESP,Espey Mfg. & Electronics Corp.,Electrical Equipment & Parts,118.34M
ESPR,"Esperion Therapeutics, Inc.",Drug Manufacturers - Specialty & Generic,369.37M
ESQ,"Esquire Financial Holdings, Inc.",Banks - Regional,758.08M
ESRT,"Empire State Realty Trust, Inc.",REIT - Diversified,2.01B
ESS,"Essex Property Trust, Inc.",REIT - Residential,16.80B
ESTA,Establishment Labs Holdings Inc.,Medical Devices,974.29M
ESTC,Elastic N.V.,Software - Application,7.66B
ET,Energy Transfer LP,Oil & Gas Midstream,58.90B
ETD,Ethan Allen Interiors Inc.,"Furnishings, Fixtures & Appliances",749.42M
ETN,Eaton Corporation plc,Specialty Industrial Machinery,140.19B
ETNB,"89bio, Inc.",Biotechnology,1.30B
ETON,"Eton Pharmaceuticals, Inc.",Drug Manufacturers - Specialty & Generic,457.24M
ETOR,eToro Group Ltd.,Capital Markets,4.63B
ETR,Entergy Corporation,Utilities - Regulated Electric,40.22B
ETSY,"Etsy, Inc.",Internet Retail,6.12B
EU,enCore Energy Corp.,Uranium,498.50M
EUDA,EUDA Health Holdings Limited,Real Estate Services,93.63M
EURK,Eureka Acquisition Corp,Shell Companies,51.30M
EVAC,EQV Ventures Acquisition Corp. II,Shell Companies,522.95M
EVAX,Evaxion A/S,Biotechnology,17.50M
EVC,Entravision Communications Corporation,Advertising Agencies,220.16M
EVCM,EverCommerce Inc.,Software - Infrastructure,1.90B
EVER,"EverQuote, Inc.",Internet Content & Information,859.88M
EVEX,"Eve Holding, Inc.",Aerospace & Defense,1.81B
EVGN,Evogene Ltd.,Biotechnology,10.70M
EVGO,"EVgo, Inc.",Specialty Retail,1.09B
EVH,"Evolent Health, Inc.",Health Information Services,1.07B
EVI,"EVI Industries, Inc.",Industrial Distribution,288.60M
EVLV,"Evolv Technologies Holdings, Inc.",Security & Protection Services,1.19B
EVO,Evotec SE,Drug Manufacturers - Specialty & Generic,1.35B
EVOK,"Evoke Pharma, Inc.",Drug Manufacturers - Specialty & Generic,11.06M
EVR,Evercore Inc.,Capital Markets,11.68B
EVRG,"Evergy, Inc.",Utilities - Regulated Electric,16.67B
EVTC,"EVERTEC, Inc.",Software - Infrastructure,2.28B
EVTL,Vertical Aerospace Ltd.,Aerospace & Defense,502.72M
EVTV,"Envirotech Vehicles, Inc.",Auto Manufacturers,4.67M
EW,Edwards Lifesciences Corporation,Medical Devices,45.89B
EWBC,"East West Bancorp, Inc.",Banks - Regional,13.63B
EWCZ,"European Wax Center, Inc.",Household & Personal Products,231.86M
EWTX,"Edgewise Therapeutics, Inc.",Biotechnology,1.37B
EXAS,Exact Sciences Corporation,Diagnostics & Research,7.75B
EXC,Exelon Corporation,Utilities - Regulated Electric,45.16B
EXE,Expand Energy Corporation,Oil & Gas Exploration & Production,23.26B
EXEL,"Exelixis, Inc.",Biotechnology,10.07B
EXFY,"Expensify, Inc.",Software - Application,165.84M
EXK,Endeavour Silver Corp.,Silver,1.60B
EXLS,"ExlService Holdings, Inc.",Information Technology Services,6.81B
EXOD,"Exodus Movement, Inc.",Software - Infrastructure,869.63M
EXOZ,"eXoZymes, Inc.",Biotechnology,82.52M
EXP,Eagle Materials Inc.,Building Materials,7.21B
EXPD,"Expeditors International of Washington, Inc.",Integrated Freight & Logistics,15.87B
EXPE,"Expedia Group, Inc.",Travel Services,23.83B
EXPI,"eXp World Holdings, Inc.",Real Estate Services,1.53B
EXPO,"Exponent, Inc.",Engineering & Construction,3.52B
EXR,Extra Space Storage Inc.,REIT - Industrial,29.97B
EXTR,"Extreme Networks, Inc.",Communication Equipment,2.65B
EYE,"National Vision Holdings, Inc.",Specialty Retail,1.80B
EYPT,"EyePoint Pharmaceuticals, Inc.",Biotechnology,708.23M
EZGO,EZGO Technologies Ltd.,Recreational Vehicles,1.77M
EZPW,"EZCORP, Inc.",Credit Services,949.98M
F,Ford Motor Company,Auto Manufacturers,44.34B
FA,First Advantage Corporation,Specialty Business Services,2.74B
FAAS,DigiAsia Corp.,Software - Infrastructure,17.30M
FACT,FACT II Acquisition Corp,Shell Companies,250.86M
FAF,First American Financial Corporation,Insurance - Specialty,6.42B
FAMI,"Farmmi, Inc.",Packaged Foods,2.10M
FANG,"Diamondback Energy, Inc.",Oil & Gas Exploration & Production,39.61B
FARM,Farmer Bros. Co.,Packaged Foods,37.08M
FAST,Fastenal Company,Industrial Distribution,54.90B
FAT,FAT Brands Inc.,Restaurants,36.13M
FATBB,FAT Brands Inc.,Restaurants,37.00M
FATE,"Fate Therapeutics, Inc.",Biotechnology,107.26M
FATN,"FatPipe, Inc.",Software - Infrastructure,80.33M
FBGL,FBS Global Limited,Engineering & Construction,7.83M
FBIN,"Fortune Brands Innovations, Inc.",Building Products & Equipment,6.62B
FBIO,"Fortress Biotech, Inc.",Biotechnology,56.77M
FBIZ,"First Business Financial Services, Inc.",Banks - Regional,394.28M
FBK,FB Financial Corporation,Banks - Regional,2.54B
FBLA,"FB Bancorp, Inc.",Banks - Regional,206.94M
FBLG,"FibroBiologics, Inc.",Biotechnology,23.24M
FBNC,First Bancorp,Banks - Regional,2.04B
FBP,First BanCorp.,Banks - Regional,3.32B
FBRT,"Franklin BSP Realty Trust, Inc.",REIT - Mortgage,886.92M
FBRX,"Forte Biosciences, Inc.",Biotechnology,129.47M
FBYD,"Falcon's Beyond Global, Inc.",Conglomerates,513.61M
FC,Franklin Covey Co.,Education & Training Services,232.61M
FCAP,"First Capital, Inc.",Banks - Regional,120.62M
FCBC,"First Community Bankshares, Inc.",Banks - Regional,649.63M
FCCO,First Community Corporation,Banks - Regional,193.45M
FCEL,"FuelCell Energy, Inc.",Electrical Equipment & Parts,92.76M
FCF,First Commonwealth Financial Corporation,Banks - Regional,1.70B
FCFS,"FirstCash Holdings, Inc.",Credit Services,6.05B
FCN,"FTI Consulting, Inc.",Consulting Services,5.32B
FCNCA,"First Citizens BancShares, Inc.",Banks - Regional,23.89B
FCNCO,"First Citizens BancShares, Inc.",Banks - Regional,23.67B
FCPT,"Four Corners Property Trust, Inc.",REIT - Retail,2.64B
FCUV,Focus Universal Inc.,Scientific & Technical Instruments,16.07M
FCX,Freeport-McMoRan Inc.,Copper,59.53B
FDBC,"Fidelity D & D Bancorp, Inc.",Banks - Regional,234.15M
FDMT,"4D Molecular Therapeutics, Inc.",Biotechnology,256.18M
FDP,Fresh Del Monte Produce Inc.,Farm Products,1.74B
FDS,FactSet Research Systems Inc.,Financial Data & Stock Exchanges,14.27B
